Model,R Squared,Root Mean Squared Error,Mean Absolute Error
Linear Regression,-1.501517430491391,501.65375157432226,401.2092652359587
Regression Tree,0.32844035352368367,362.3983122989134,242.3004566210046
K-Nearest Neighbours,-0.14451255796546686,457.6279932833994,345.8721109940288
